ID,Local,Visitante,Liga,Temporada,Equipo,Titular,Posicion,Jugador,Puntuacion,Capitan,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Portero,1. Marko Dmitrović,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Defensa,3. Pedro Bigas,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Defensa,4. Paulo Oliveira,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Defensa,6. Sergio Álvarez,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Defensa,20. Róber,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Mediocentro,8. Papakouli Diop,6.7,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Mediocentro,10. Edu Expósito,6.3,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Mediocentro,14. Takashi Inui,6.2,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Mediocentro,21. Pedro León,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Delantero,9. Sergi Enrich,6.6,C,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Titular,Delantero,17. Kike,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Portero,1. Iván Villar,6.3,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Defensa,2. Hugo Mallo,6.7,C,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Defensa,4. Néstor Araujo,7,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Defensa,15. Lucas Olaza,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Defensa,18. Joseph Aidoo,7.2,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Mediocentro,5. Okay Yokuşlu,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Mediocentro,14. Renato Tapia,6.3,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Mediocentro,23. Brais Méndez,6.7,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Delantero,9. Nolito,6.9,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Delantero,10. Iago Aspas,6.3,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Celta de Vigo,Titular,Delantero,11. Emre Mor,6.7,,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),12 Septiembre 2020 - 14:00,Eibar,Suplente,Portero,13. Yoel Rodríguez,,,
