ID,Local,Visitante,Liga,Temporada,Fecha-hora,Árbitro,Estadio,Sistema_Local,Sistema_Visitante,Goles_Local,Goles_Visitante,Goles_1er_tiempo_Local,Goles_1er_tiempo_Visitante,Remates_a_puerta_Local,Remates_a_puerta_Visitante,Remates_fuera_Local,Remates_fuera_Visitante,Remates_Local,Remates_Visitante,Remates_rechazados_Local,Remates_rechazados_Visitante,Tiros_dentro_del_área_Local,Tiros_dentro_del_área_Visitante,Tiros_desde_fuera_del_área_Local,Tiros_desde_fuera_del_área_Visitante,Faltas_Local,Faltas_Visitante,Córneres_Local,Córneres_Visitante,Fueras_de_juego_Local,Fueras_de_juego_Visitante,Posesión_de_balón_(por)_Local,Posesión_de_balón_(por)_Visitante,Tarjetas_amarillas_Local,Tarjetas_amarillas_Visitante,Tarjetas_rojas_Local,Tarjetas_rojas_Visitante,Paradas_Local,Paradas_Visitante,Pases_totales_Local,Pases_totales_Visitante,Pases_acierte_Local,Pases_acierte_Visitante,Pases_acierte_(por)_Local,Pases_acierte_(por)_Visitante,
473360,Eibar,Celta de Vigo,PrimeraDivision(España),2020/2021,12 Septiembre 2020 - 14:00,Valentin Pizarro Gomez - Spain,Estadio Municipal de Ipurúa,4-4-2,4-3-3,0,0,0,0,1,1,5,3,7,4,1,0,3,4,4,0,11,8,2,3,1,4,49,51,2,1,0,0,1,1,237,249,136,143,57,57,
473359,Granada,Athletic Bilbao,PrimeraDivision(España),2020/2021,12 Septiembre 2020 - 16:30,Antonio Mateu - Spain,Estadio Nuevo Los Cármenes,4-2-3-1,4-2-3-1,2,0,0,0,2,2,2,7,4,9,0,0,2,7,2,2,8,10,1,2,5,0,40,60,3,4,0,0,2,0,320,442,224,341,70,77,
473361,Cádiz,Osasuna,PrimeraDivision(España),2020/2021,12 Septiembre 2020 - 19:00,Isidro Diaz de Mera Escuderos - Spain,Estadio Ramón de Carranza,4-2-3-1,4-4-2,0,2,0,1,3,4,6,2,11,6,2,0,5,4,6,2,12,18,6,2,2,0,52,48,1,2,0,0,2,3,322,302,218,182,68,60,
473367,Deportivo Alavés,Real Betis,PrimeraDivision(España),2020/2021,13 Septiembre 2020 - 12:00,Pablo Gonzales Fuertes - Spain,Estadio de Mendizorroza,3-1-4-2,4-2-3-1,0,1,0,0,2,4,3,5,7,11,2,2,6,4,1,7,18,17,6,4,8,3,41,59,3,3,0,0,3,2,289,422,222,330,77,78,
473362,Real Valladolid,Real Sociedad,PrimeraDivision(España),2020/2021,13 Septiembre 2020 - 14:00,Mario Melero Lopez - Spain,Estadio Municipal José Zorrilla,4-2-3-1,4-1-4-1,1,1,1,0,3,2,5,6,8,8,0,0,8,4,0,4,13,16,5,2,1,1,38,62,4,1,0,0,1,1,227,364,153,282,67,77,
473363,FC Barcelona,Elche,PrimeraDivision(España),2020/2021,13 Septiembre 2020 - 15:00,Sin disputar,Sin disputar,Sin disputar,Sin disputar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
473364,Real Madrid,Getafe,PrimeraDivision(España),2020/2021,13 Septiembre 2020 - 15:00,Sin disputar,Sin disputar,Sin disputar,Sin disputar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
473365,Villarreal,Huesca,PrimeraDivision(España),2020/2021,13 Septiembre 2020 - 16:30,Javier Estrada Fernandez - Spain,Estadio de la Cerámica,4-4-1-1,4-2-3-1,1,1,0,1,3,2,5,3,10,7,2,2,7,4,3,3,9,15,4,4,4,3,63,37,1,0,0,0,1,2,434,244,374,185,86,76,
473366,Valencia,Levante,PrimeraDivision(España),2020/2021,13 Septiembre 2020 - 19:00,Jose Maria Sanchez Martinez - Spain,Estadio de Mestalla,4-4-2,4-4-2,4,2,2,2,6,8,3,9,11,19,2,2,6,12,5,7,8,12,3,3,4,1,44,56,0,2,0,0,6,3,357,438,289,376,81,86,
473369,Villarreal,Eibar,PrimeraDivision(España),2020/2021,19 Septiembre 2020 - 14:00,Jorge Figueroa Vazquez - Spain,Estadio de la Cerámica,4-4-2,4-3-3,2,1,0,0,7,4,6,5,13,10,0,1,11,6,2,4,5,12,4,2,9,5,58,42,1,1,0,0,3,3,428,294,334,208,78,71,
473368,Getafe,Osasuna,PrimeraDivision(España),2020/2021,19 Septiembre 2020 - 16:30,Alejandro Hernandez - Spain,Coliseum Alfonso Pérez,4-4-2,4-4-2,1,0,0,0,1,3,4,6,7,10,2,1,5,3,2,7,19,13,4,1,2,3,55,45,4,2,0,0,3,1,420,349,273,197,65,56,
473370,Celta de Vigo,Valencia,PrimeraDivision(España),2020/2021,19 Septiembre 2020 - 19:00,Jesus Gil Manzano - Spain,Abanca-Balaídos,4-4-2,4-4-2,2,1,1,0,6,3,10,3,23,8,7,2,14,4,9,4,12,13,6,5,2,0,51,49,2,1,0,0,2,4,428,395,352,323,82,82,
473371,Huesca,Cádiz,PrimeraDivision(España),2020/2021,20 Septiembre 2020 - 14:00,Cesar Soto Grado - Spain,Estadio El Alcoraz,4-2-3-1,4-2-3-1,0,2,0,1,0,4,2,2,3,6,1,0,2,3,1,3,18,22,2,0,4,0,70,30,3,3,0,0,2,0,570,229,490,146,86,64,
473372,Levante,Atlético Madrid,PrimeraDivision(España),2020/2021,20 Septiembre 2020 - 15:00,Sin disputar,Sin disputar,Sin disputar,Sin disputar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
473373,Sevilla,Elche,PrimeraDivision(España),2020/2021,20 Septiembre 2020 - 15:00,Sin disputar,Sin disputar,Sin disputar,Sin disputar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
473374,Granada,Deportivo Alavés,PrimeraDivision(España),2020/2021,20 Septiembre 2020 - 16:30,Carlos Del Cerro Grande - Spain,Estadio Nuevo Los Cármenes,4-2-3-1,3-5-2,2,1,1,1,3,3,5,0,10,5,2,2,8,2,2,3,9,12,4,4,5,0,56,44,0,3,0,0,2,1,366,284,280,195,77,69,
473376,Real Betis,Real Valladolid,PrimeraDivision(España),2020/2021,20 Septiembre 2020 - 16:30,Santiago Jaime Latre - Spain,Estadio Benito Villamarín,4-2-3-1,4-2-3-1,2,0,2,0,6,2,6,2,16,8,4,4,10,5,6,3,18,10,5,2,1,4,56,44,3,0,0,0,2,4,511,385,417,293,82,76,
473375,Real Sociedad,Real Madrid,PrimeraDivision(España),2020/2021,20 Septiembre 2020 - 19:00,Juan Martinez Munuera - Spain,Reale Arena,4-4-2,4-2-3-1,0,0,0,0,1,4,4,5,6,16,1,7,5,8,1,8,17,12,1,11,2,3,32,68,2,2,0,0,4,1,329,694,251,619,76,89,
473377,Deportivo Alavés,Getafe,PrimeraDivision(España),2020/2021,26 Septiembre 2020 - 11:00,Javier Alberola Rojas - Spain,Estadio de Mendizorroza,4-4-2,4-4-2,0,0,0,0,0,3,8,6,9,10,1,1,5,8,4,2,12,13,1,5,2,3,46,54,2,2,0,0,3,0,312,346,172,225,55,65,
473385,Valencia,Huesca,PrimeraDivision(España),2020/2021,26 Septiembre 2020 - 14:00,Jose Luis Munuera Montero - Spain,Estadio de Mestalla,4-4-2,4-2-3-1,1,1,1,0,2,4,1,9,4,17,1,4,2,10,2,7,14,20,3,4,2,3,47,53,0,1,0,0,3,1,361,396,277,328,77,83,
473383,Elche,Real Sociedad,PrimeraDivision(España),2020/2021,26 Septiembre 2020 - 16:30,Isidro Diaz de Mera Escuderos - Spain,Estadio Manuel Martínez Valero,5-4-1,4-1-4-1,0,3,0,0,2,7,2,7,4,27,0,13,2,20,2,7,11,12,2,11,1,2,39,61,3,1,0,0,4,2,336,494,258,426,77,86,
