Granada-Athletic Bilbao;(Oier Zarraga) Yangel Herrera;10';;;;
Granada-Athletic Bilbao;;;;15';Oier Zarraga (Oier Zarraga);
Granada-Athletic Bilbao;(Oier Zarraga) Germán Sánchez;45';;;;
Granada-Athletic Bilbao;(Ángel Montoro) Yangel Herrera;49';;;;
Granada-Athletic Bilbao;;;;52';Iñigo Martínez (Oier Zarraga);
Granada-Athletic Bilbao;(Oier Zarraga) Luis Milla;53';;;;
Granada-Athletic Bilbao;;;;56';Unai López (Mikel Vesga);
Granada-Athletic Bilbao;;;;56';Iñaki Williams (Ander Capa);
Granada-Athletic Bilbao;(Ángel Montoro) Maxime Gonalons;62';;;;
Granada-Athletic Bilbao;(Darwin Machís) Fede Vico;62';;;;
Granada-Athletic Bilbao;;;;72';Unai López (Oier Zarraga);
Granada-Athletic Bilbao;;;;73';Oihan Sancet (Iker Muniain);
Granada-Athletic Bilbao;;;;73';Asier Villalibre (Raúl García);
Granada-Athletic Bilbao;;;;80';Unai Vencedor (Dani García);
Granada-Athletic Bilbao;(Roberto Soldado) Ramon Azeez;80';;;;
Granada-Athletic Bilbao;(Yangel Herrera) Kenedy;80';;;;
Granada-Athletic Bilbao;;;;84';Yeray Álvarez (Oier Zarraga);
Granada-Athletic Bilbao;(Luis Milla) Víctor Díaz;89';;;;
Granada-Athletic Bilbao;(Oier Zarraga) Maxime Gonalons;90'+2;;;;
